Date,currency,strength
9/10/14,BTC-USD,16.66666667
10/10/14,BTC-USD,32.74509738
11/10/14,BTC-USD,
12/10/14,BTC-USD,
13/10/14,BTC-USD,
14/10/14,BTC-USD,
15/10/14,BTC-USD,
16/10/14,BTC-USD,
17/10/14,BTC-USD,
18/10/14,BTC-USD,
19/10/14,BTC-USD,
20/10/14,BTC-USD,
21/10/14,BTC-USD,
22/10/14,BTC-USD,40.79166733
23/10/14,BTC-USD,
24/10/14,BTC-USD,
25/10/14,BTC-USD,
26/10/14,BTC-USD,
27/10/14,BTC-USD,
28/10/14,BTC-USD,
29/10/14,BTC-USD,
30/10/14,BTC-USD,
31/10/14,BTC-USD,
1/11/14,BTC-USD,
2/11/14,BTC-USD,
3/11/14,BTC-USD,
4/11/14,BTC-USD,
5/11/14,BTC-USD,
6/11/14,BTC-USD,
7/11/14,BTC-USD,
8/11/14,BTC-USD,
9/11/14,BTC-USD,
10/11/14,BTC-USD,
11/11/14,BTC-USD,
12/11/14,BTC-USD,
13/11/14,BTC-USD,
14/11/14,BTC-USD,
15/11/14,BTC-USD,
16/11/14,BTC-USD,
17/11/14,BTC-USD,32.74509821
18/11/14,BTC-USD,16.66666667
19/11/14,BTC-USD,
20/11/14,BTC-USD,
21/11/14,BTC-USD,
22/11/14,BTC-USD,
23/11/14,BTC-USD,
24/11/14,BTC-USD,
25/11/14,BTC-USD,
26/11/14,BTC-USD,
27/11/14,BTC-USD,
28/11/14,BTC-USD,
29/11/14,BTC-USD,
30/11/14,BTC-USD,
1/12/14,BTC-USD,
2/12/14,BTC-USD,
3/12/14,BTC-USD,
4/12/14,BTC-USD,49.99999901
5/12/14,BTC-USD,
6/12/14,BTC-USD,
7/12/14,BTC-USD,
8/12/14,BTC-USD,
9/12/14,BTC-USD,
10/12/14,BTC-USD,
11/12/14,BTC-USD,47.87958098
12/12/14,BTC-USD,
13/12/14,BTC-USD,
14/12/14,BTC-USD,
15/12/14,BTC-USD,26.1764707
16/12/14,BTC-USD,33.22384446
17/12/14,BTC-USD,
18/12/14,BTC-USD,65.42857225
19/12/14,BTC-USD,
20/12/14,BTC-USD,
21/12/14,BTC-USD,
22/12/14,BTC-USD,39.39010916
23/12/14,BTC-USD,32.74509738
24/12/14,BTC-USD,
25/12/14,BTC-USD,
26/12/14,BTC-USD,
27/12/14,BTC-USD,
28/12/14,BTC-USD,
29/12/14,BTC-USD,
30/12/14,BTC-USD,16.66666667
6/1/15,BTC-USD,36.06760392
7/1/15,BTC-USD,32.74509821
8/1/15,BTC-USD,
9/1/15,BTC-USD,16.66666667
10/1/15,BTC-USD,
11/1/15,BTC-USD,
12/1/15,BTC-USD,
13/1/15,BTC-USD,32.85714291
14/1/15,BTC-USD,48.10904094
15/1/15,BTC-USD,
16/1/15,BTC-USD,
17/1/15,BTC-USD,
18/1/15,BTC-USD,
19/1/15,BTC-USD,
20/1/15,BTC-USD,41.21951239
21/1/15,BTC-USD,37.5607069
22/1/15,BTC-USD,
23/1/15,BTC-USD,16.66666667
24/1/15,BTC-USD,
25/1/15,BTC-USD,
26/1/15,BTC-USD,29.60317471
27/1/15,BTC-USD,32.74509738
28/1/15,BTC-USD,
29/1/15,BTC-USD,28.96210985
30/1/15,BTC-USD,
31/1/15,BTC-USD,
1/2/15,BTC-USD,
2/2/15,BTC-USD,
3/2/15,BTC-USD,27.11368678
4/2/15,BTC-USD,27.11368678
5/2/15,BTC-USD,30.59602682
6/2/15,BTC-USD,26.1764707
7/2/15,BTC-USD,
8/2/15,BTC-USD,
9/2/15,BTC-USD,
10/2/15,BTC-USD,32.74509821
11/2/15,BTC-USD,41.56565676
12/2/15,BTC-USD,
13/2/15,BTC-USD,
14/2/15,BTC-USD,
15/2/15,BTC-USD,
16/2/15,BTC-USD,
17/2/15,BTC-USD,
18/2/15,BTC-USD,
19/2/15,BTC-USD,24.70588244
20/2/15,BTC-USD,40.80416297
21/2/15,BTC-USD,
22/2/15,BTC-USD,
23/2/15,BTC-USD,
24/2/15,BTC-USD,
25/2/15,BTC-USD,
26/2/15,BTC-USD,
27/2/15,BTC-USD,
28/2/15,BTC-USD,
1/3/15,BTC-USD,
2/3/15,BTC-USD,16.66666667
3/3/15,BTC-USD,
4/3/15,BTC-USD,
5/3/15,BTC-USD,
6/3/15,BTC-USD,
7/3/15,BTC-USD,
8/3/15,BTC-USD,
9/3/15,BTC-USD,
10/3/15,BTC-USD,16.66666667
11/3/15,BTC-USD,
12/3/15,BTC-USD,
13/3/15,BTC-USD,
14/3/15,BTC-USD,
15/3/15,BTC-USD,
16/3/15,BTC-USD,
17/3/15,BTC-USD,34.57142878
18/3/15,BTC-USD,
19/3/15,BTC-USD,
20/3/15,BTC-USD,
21/3/15,BTC-USD,
22/3/15,BTC-USD,
23/3/15,BTC-USD,16.66666667
24/3/15,BTC-USD,41.21951239
25/3/15,BTC-USD,
26/3/15,BTC-USD,
27/3/15,BTC-USD,
28/3/15,BTC-USD,
29/3/15,BTC-USD,
30/3/15,BTC-USD,27.11368678
31/3/15,BTC-USD,37.5607069
1/4/15,BTC-USD,32.74509821
2/4/15,BTC-USD,
3/4/15,BTC-USD,
4/4/15,BTC-USD,
5/4/15,BTC-USD,16.66666667
6/4/15,BTC-USD,
7/4/15,BTC-USD,
8/4/15,BTC-USD,
9/4/15,BTC-USD,
10/4/15,BTC-USD,
11/4/15,BTC-USD,31.59009032
12/4/15,BTC-USD,
13/4/15,BTC-USD,
14/4/15,BTC-USD,
15/4/15,BTC-USD,
16/4/15,BTC-USD,
17/4/15,BTC-USD,
18/4/15,BTC-USD,
19/4/15,BTC-USD,
20/4/15,BTC-USD,
21/4/15,BTC-USD,
22/4/15,BTC-USD,
23/4/15,BTC-USD,
24/4/15,BTC-USD,
25/4/15,BTC-USD,
26/4/15,BTC-USD,
27/4/15,BTC-USD,
28/4/15,BTC-USD,
29/4/15,BTC-USD,
30/4/15,BTC-USD,30.02934706
1/5/15,BTC-USD,
2/5/15,BTC-USD,49.04761915
3/5/15,BTC-USD,32.74509738
4/5/15,BTC-USD,
5/5/15,BTC-USD,
6/5/15,BTC-USD,
7/5/15,BTC-USD,
8/5/15,BTC-USD,
9/5/15,BTC-USD,
10/5/15,BTC-USD,
11/5/15,BTC-USD,16.66666667
12/5/15,BTC-USD,
13/5/15,BTC-USD,
14/5/15,BTC-USD,
15/5/15,BTC-USD,
16/5/15,BTC-USD,34.57142878
17/5/15,BTC-USD,34.57142878
18/5/15,BTC-USD,
19/5/15,BTC-USD,
20/5/15,BTC-USD,
21/5/15,BTC-USD,
22/5/15,BTC-USD,
23/5/15,BTC-USD,
24/5/15,BTC-USD,
25/5/15,BTC-USD,
26/5/15,BTC-USD,
27/5/15,BTC-USD,
28/5/15,BTC-USD,
29/5/15,BTC-USD,
30/5/15,BTC-USD,
31/5/15,BTC-USD,
1/6/15,BTC-USD,
2/6/15,BTC-USD,
3/6/15,BTC-USD,
4/6/15,BTC-USD,
5/6/15,BTC-USD,41.21951239
6/6/15,BTC-USD,
7/6/15,BTC-USD,
8/6/15,BTC-USD,
9/6/15,BTC-USD,37.5607069
10/6/15,BTC-USD,16.66666667
11/6/15,BTC-USD,16.66666667
12/6/15,BTC-USD,
13/6/15,BTC-USD,
14/6/15,BTC-USD,
15/6/15,BTC-USD,
16/6/15,BTC-USD,
17/6/15,BTC-USD,46.2318845
18/6/15,BTC-USD,41.21951239
19/6/15,BTC-USD,
20/6/15,BTC-USD,
21/6/15,BTC-USD,
22/6/15,BTC-USD,
23/6/15,BTC-USD,
24/6/15,BTC-USD,
25/6/15,BTC-USD,
26/6/15,BTC-USD,
27/6/15,BTC-USD,
28/6/15,BTC-USD,
29/6/15,BTC-USD,
30/6/15,BTC-USD,16.66666667
1/7/15,BTC-USD,
2/7/15,BTC-USD,
3/7/15,BTC-USD,
4/7/15,BTC-USD,
5/7/15,BTC-USD,
6/7/15,BTC-USD,
7/7/15,BTC-USD,27.11368678
8/7/15,BTC-USD,44.04761905
9/7/15,BTC-USD,44.04761905
10/7/15,BTC-USD,
11/7/15,BTC-USD,
12/7/15,BTC-USD,
13/7/15,BTC-USD,39.27482124
14/7/15,BTC-USD,33.03523048
15/7/15,BTC-USD,25.61904772
16/7/15,BTC-USD,
17/7/15,BTC-USD,
18/7/15,BTC-USD,16.66666667
19/7/15,BTC-USD,26.1764707
20/7/15,BTC-USD,26.1764707
21/7/15,BTC-USD,29.46078445
22/7/15,BTC-USD,
23/7/15,BTC-USD,32.74509821
24/7/15,BTC-USD,
25/7/15,BTC-USD,
26/7/15,BTC-USD,
27/7/15,BTC-USD,
28/7/15,BTC-USD,16.66666667
29/7/15,BTC-USD,
30/7/15,BTC-USD,
31/7/15,BTC-USD,
1/8/15,BTC-USD,32.75833087
2/8/15,BTC-USD,54.14814924
3/8/15,BTC-USD,
4/8/15,BTC-USD,
5/8/15,BTC-USD,
6/8/15,BTC-USD,
7/8/15,BTC-USD,
8/8/15,BTC-USD,
9/8/15,BTC-USD,
10/8/15,BTC-USD,
11/8/15,BTC-USD,
12/8/15,BTC-USD,
13/8/15,BTC-USD,
14/8/15,BTC-USD,
15/8/15,BTC-USD,
16/8/15,BTC-USD,
17/8/15,BTC-USD,
18/8/15,BTC-USD,37.5607069
19/8/15,BTC-USD,44.04761905
20/8/15,BTC-USD,43.44662372
21/8/15,BTC-USD,54.14814924
22/8/15,BTC-USD,
23/8/15,BTC-USD,
24/8/15,BTC-USD,
25/8/15,BTC-USD,34.57142878
26/8/15,BTC-USD,34.57142878
27/8/15,BTC-USD,
28/8/15,BTC-USD,
29/8/15,BTC-USD,40.79166733
30/8/15,BTC-USD,
31/8/15,BTC-USD,
1/9/15,BTC-USD,16.66666667
2/9/15,BTC-USD,40.79166733
3/9/15,BTC-USD,
4/9/15,BTC-USD,
5/9/15,BTC-USD,
6/9/15,BTC-USD,16.66666667
7/9/15,BTC-USD,
8/9/15,BTC-USD,21.72222229
9/9/15,BTC-USD,48.38451978
10/9/15,BTC-USD,
11/9/15,BTC-USD,26.77777791
12/9/15,BTC-USD,48.38451978
13/9/15,BTC-USD,16.66666667
14/9/15,BTC-USD,
15/9/15,BTC-USD,16.66666667
16/9/15,BTC-USD,20.03703708
17/9/15,BTC-USD,26.77777791
18/9/15,BTC-USD,26.82448598
19/9/15,BTC-USD,16.66666667
20/9/15,BTC-USD,41.21951239
21/9/15,BTC-USD,46.2318845
22/9/15,BTC-USD,
23/9/15,BTC-USD,
24/9/15,BTC-USD,
25/9/15,BTC-USD,41.21951143
26/9/15,BTC-USD,
27/9/15,BTC-USD,
28/9/15,BTC-USD,
29/9/15,BTC-USD,
30/9/15,BTC-USD,
1/10/15,BTC-USD,
2/10/15,BTC-USD,
3/10/15,BTC-USD,
4/10/15,BTC-USD,
5/10/15,BTC-USD,21.42156869
6/10/15,BTC-USD,16.66666667
7/10/15,BTC-USD,16.66666667
8/10/15,BTC-USD,
9/10/15,BTC-USD,
10/10/15,BTC-USD,
11/10/15,BTC-USD,
12/10/15,BTC-USD,
13/10/15,BTC-USD,
14/10/15,BTC-USD,
15/10/15,BTC-USD,
16/10/15,BTC-USD,
17/10/15,BTC-USD,
18/10/15,BTC-USD,
19/10/15,BTC-USD,
20/10/15,BTC-USD,
21/10/15,BTC-USD,
22/10/15,BTC-USD,25.95350151
23/10/15,BTC-USD,
24/10/15,BTC-USD,
25/10/15,BTC-USD,32.74509821
26/10/15,BTC-USD,
27/10/15,BTC-USD,26.1764707
28/10/15,BTC-USD,
29/10/15,BTC-USD,
30/10/15,BTC-USD,
31/10/15,BTC-USD,
1/11/15,BTC-USD,
2/11/15,BTC-USD,32.18629744
3/11/15,BTC-USD,30.67460334
4/11/15,BTC-USD,30.24090612
5/11/15,BTC-USD,30.64477098
6/11/15,BTC-USD,
7/11/15,BTC-USD,16.66666667
8/11/15,BTC-USD,
9/11/15,BTC-USD,
10/11/15,BTC-USD,42.67486729
11/11/15,BTC-USD,43.82888067
12/11/15,BTC-USD,
13/11/15,BTC-USD,26.1764707
14/11/15,BTC-USD,
15/11/15,BTC-USD,
16/11/15,BTC-USD,
17/11/15,BTC-USD,
18/11/15,BTC-USD,
19/11/15,BTC-USD,
20/11/15,BTC-USD,
21/11/15,BTC-USD,
22/11/15,BTC-USD,
23/11/15,BTC-USD,
24/11/15,BTC-USD,
25/11/15,BTC-USD,
26/11/15,BTC-USD,
27/11/15,BTC-USD,
28/11/15,BTC-USD,
29/11/15,BTC-USD,
30/11/15,BTC-USD,40.80416297
1/12/15,BTC-USD,
2/12/15,BTC-USD,
3/12/15,BTC-USD,27.31359674
4/12/15,BTC-USD,
5/12/15,BTC-USD,
6/12/15,BTC-USD,
7/12/15,BTC-USD,37.5607069
8/12/15,BTC-USD,41.21951239
9/12/15,BTC-USD,37.313003
10/12/15,BTC-USD,16.66666667
11/12/15,BTC-USD,31.44927559
12/12/15,BTC-USD,
13/12/15,BTC-USD,31.44927559
14/12/15,BTC-USD,
15/12/15,BTC-USD,47.87958098
16/12/15,BTC-USD,26.77777791
17/12/15,BTC-USD,
18/12/15,BTC-USD,
19/12/15,BTC-USD,
20/12/15,BTC-USD,
21/12/15,BTC-USD,
22/12/15,BTC-USD,
23/12/15,BTC-USD,
24/12/15,BTC-USD,
25/12/15,BTC-USD,
26/12/15,BTC-USD,
27/12/15,BTC-USD,
28/12/15,BTC-USD,
29/12/15,BTC-USD,46.2318845
8/1/16,BTC-USD,50
9/1/16,BTC-USD,
10/1/16,BTC-USD,
11/1/16,BTC-USD,
12/1/16,BTC-USD,
13/1/16,BTC-USD,
14/1/16,BTC-USD,
15/1/16,BTC-USD,
16/1/16,BTC-USD,
17/1/16,BTC-USD,44.04761905
18/1/16,BTC-USD,38.4734686
19/1/16,BTC-USD,
20/1/16,BTC-USD,
21/1/16,BTC-USD,26.1764707
22/1/16,BTC-USD,26.1764707
23/1/16,BTC-USD,
24/1/16,BTC-USD,
25/1/16,BTC-USD,
26/1/16,BTC-USD,
27/1/16,BTC-USD,
28/1/16,BTC-USD,
29/1/16,BTC-USD,
30/1/16,BTC-USD,
31/1/16,BTC-USD,
1/2/16,BTC-USD,
2/2/16,BTC-USD,
3/2/16,BTC-USD,
4/2/16,BTC-USD,
5/2/16,BTC-USD,
6/2/16,BTC-USD,
7/2/16,BTC-USD,
8/2/16,BTC-USD,
9/2/16,BTC-USD,
10/2/16,BTC-USD,30.35714286
11/2/16,BTC-USD,31.55957358
12/2/16,BTC-USD,47.87958098
13/2/16,BTC-USD,
