Date,close,long_signal,short_signal,log_return,long,short,long_costprice,short_costprice,long_dailypnl_pct,short_dailypnl_pct,total_dailypnl_pct,long_dailypnl_pct_posi,long_dailypnl_pct_nega,short_dailypnl_pct_posi,short_dailypnl_pct_nega,total_dailypnl_pct_posi,total_dailypnl_pct_nega,long_sumprofit,long_sumloss,short_sumprofit,short_sumloss,total_sumprofit,total_sumloss,long_PF,short_PF,total_PF,long_cumpnl_pct_pertrade,short_cumpnl_pct_pertrade,long_cumsignal_pertrade,short_cumsignal_pertrade,long_cumpnl_pct,short_cumpnl_pct,long_recovperiod,short_recovperiod,total_recovperiod,total_cumpnl_pct,long_cumpnl_max,short_cumpnl_max,total_cumpnl_max,long_drawdown,short_drawdown,total_drawdown,long_recovery_flag,short_recovery_flag,total_recovery_flag,long_position,short_position
2017-07-11,2337.7900390625,1.0,0.0,-0.01476351029164194,1.0,0.0,2340.1278291015624,0.0,-0.0009995003330834993,0.01376351029164194,0.01276400995855844,0.0,-0.0009995003330834993,0.01376351029164194,0.0,0.01376351029164194,-0.0009995003330834993,0.054529738083631214,-0.029826107250832706,0.16297002819538933,-0.2791931785705243,0.21749976627902054,-0.30901928582135696,1.828255280685642,0.5837178008065947,0.7038388096099493,-0.0009995003330834993,0.10506997743300528,0.0,6.0,0.024703630832798508,-0.11622315037513489,1.0,88.0,88.0,-0.09151951954233639,0.025703131165882007,0.015639128534945868,0.015639128534945868,-0.0009995003330834987,-0.13186227891008076,-0.10715864807728226,1,1,1,1.0,-1.0
2017-07-12,2398.840087890625,0.0,0.0,0.02577926845049998,0.0,0.0,0.0,0.0,0.024779268450499978,0.0,0.024779268450499978,0.024779268450499978,0.0,0.0,0.0,0.024779268450499978,0.0,0.0793090065341312,-0.029826107250832706,0.16297002819538933,-0.2791931785705243,0.24227903472952053,-0.30901928582135696,2.659046514758207,0.5837178008065947,0.7840256121411828,0.02377976811741648,0.0,1.0,0.0,0.049482899283298486,-0.11622315037513489,0.0,89.0,89.0,-0.0667402510918364,0.049482899283298486,0.015639128534945868,0.015639128534945868,0.0,-0.13186227891008076,-0.08237937962678227,0,1,1,-1.0,0.0
2017-07-13,2357.89990234375,0.0,0.0,-0.017213972837918482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0793090065341312,-0.029826107250832706,0.16297002819538933,-0.2791931785705243,0.24227903472952053,-0.30901928582135696,2.659046514758207,0.5837178008065947,0.7840256121411828,0.0,0.0,0.0,0.0,0.049482899283298486,-0.11622315037513489,0.0,90.0,90.0,-0.0667402510918364,0.049482899283298486,0.015639128534945868,0.015639128534945868,0.0,-0.13186227891008076,-0.08237937962678227,0,1,1,0.0,0.0
2017-07-14,2233.340087890625,0.0,0.0,-0.054273088825368215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0793090065341312,-0.029826107250832706,0.16297002819538933,-0.2791931785705243,0.24227903472952053,-0.30901928582135696,2.659046514758207,0.5837178008065947,0.7840256121411828,0.0,0.0,0.0,0.0,0.049482899283298486,-0.11622315037513489,0.0,91.0,91.0,-0.0667402510918364,0.049482899283298486,0.015639128534945868,0.015639128534945868,0.0,-0.13186227891008076,-0.08237937962678227,0,1,1,0.0,0.0
2017-07-15,1998.8599853515625,0.0,0.0,-0.11092125143308323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0793090065341312,-0.029826107250832706,0.16297002819538933,-0.2791931785705243,0.24227903472952053,-0.30901928582135696,2.659046514758207,0.5837178008065947,0.7840256121411828,0.0,0.0,0.0,0.0,0.049482899283298486,-0.11622315037513489,0.0,92.0,92.0,-0.0667402510918364,0.049482899283298486,0.015639128534945868,0.015639128534945868,0.0,-0.13186227891008076,-0.08237937962678227,0,1,1,0.0,0.0
2017-07-16,1929.8199462890625,0.0,0.0,-0.03515030423318027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0793090065341312,-0.029826107250832706,0.16297002819538933,-0.2791931785705243,0.24227903472952053,-0.30901928582135696,2.659046514758207,0.5837178008065947,0.7840256121411828,0.0,0.0,0.0,0.0,0.049482899283298486,-0.11622315037513489,0.0,93.0,93.0,-0.0667402510918364,0.049482899283298486,0.015639128534945868,0.015639128534945868,0.0,-0.13186227891008076,-0.08237937962678227,0,1,1,0.0,0.0
2017-07-17,2228.409912109375,0.0,0.0,0.1438615807515655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0793090065341312,-0.029826107250832706,0.16297002819538933,-0.2791931785705243,0.24227903472952053,-0.30901928582135696,2.659046514758207,0.5837178008065947,0.7840256121411828,0.0,0.0,0.0,0.0,0.049482899283298486,-0.11622315037513489,0.0,94.0,94.0,-0.0667402510918364,0.049482899283298486,0.015639128534945868,0.015639128534945868,0.0,-0.13186227891008076,-0.08237937962678227,0,1,1,0.0,0.0
2017-07-18,2318.8798828125,0.0,0.0,0.039795972717640425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0793090065341312,-0.029826107250832706,0.16297002819538933,-0.2791931785705243,0.24227903472952053,-0.30901928582135696,2.659046514758207,0.5837178008065947,0.7840256121411828,0.0,0.0,0.0,0.0,0.049482899283298486,-0.11622315037513489,0.0,95.0,95.0,-0.0667402510918364,0.049482899283298486,0.015639128534945868,0.015639128534945868,0.0,-0.13186227891008076,-0.08237937962678227,0,1,1,0.0,0.0
2017-07-19,2273.429931640625,0.0,0.0,-0.019794585747284255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0793090065341312,-0.029826107250832706,0.16297002819538933,-0.2791931785705243,0.24227903472952053,-0.30901928582135696,2.659046514758207,0.5837178008065947,0.7840256121411828,0.0,0.0,0.0,0.0,0.049482899283298486,-0.11622315037513489,0.0,96.0,96.0,-0.0667402510918364,0.049482899283298486,0.015639128534945868,0.015639128534945868,0.0,-0.13186227891008076,-0.08237937962678227,0,1,1,0.0,0.0
2017-07-20,2817.60009765625,0.0,0.0,0.21459581921064388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0793090065341312,-0.029826107250832706,0.16297002819538933,-0.2791931785705243,0.24227903472952053,-0.30901928582135696,2.659046514758207,0.5837178008065947,0.7840256121411828,0.0,0.0,0.0,0.0,0.049482899283298486,-0.11622315037513489,0.0,97.0,97.0,-0.0667402510918364,0.049482899283298486,0.015639128534945868,0.015639128534945868,0.0,-0.13186227891008076,-0.08237937962678227,0,1,1,0.0,0.0
