,customer_id,time_duration,event_day_2020/10/27,event_day_2020/10/28,event_day_2020/10/29,event_day_2020/10/30,event_day_2020/10/31,event_day_2020/11/1,gender_woman,age_10's,age_20's,age_30's,age_40's,age_50's,age_60's,age_Over70's,area1_max_time_duration,area2_max_time_duration,area3_max_time_duration,area4_max_time_duration,area5_max_time_duration,buy_flag
69,20201026-010172,24.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,18.6,0.0,0.0,0.0,0.0,1
70,20201026-010174,135.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,34.4,20.4,0.0,0.0,0.0,1
71,20201026-010177,35.8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11.4,0.0,0.0,11.2,7.8,0
72,20201026-010181,23.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,11.2,0.0,0.0,1
73,20201026-010183,5.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,4.2,1
74,20201026-010192,11.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,5.2,0.0,0.0,1
75,20201026-010193,22.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10.8,0.0,0.0,6.4,0.0,1
76,20201026-010198,10.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,9.8,1
77,20201026-010201,29.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.6,8.6,0.0,0.0,0.0,1
78,20201026-010204,31.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,30.2,1
79,20201026-010205,21.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,14.6,0.0,0.0,1
80,20201026-020006,22.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14.8,0.0,0.0,0.0,0.0,1
81,20201026-020012,20.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,12.0,0.0,0.0,0.0,1
82,20201026-020013,14.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,6.8,0.0,0.0,1
83,20201026-020017,16.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.0,0.0,0.0,0.0,0.0,1
